ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
151,4.58E-05,0.7945766761,0.04383047278,2.48E-09,10969.68101,1.29E-08,2.42E-09,2.23E-18,7.67E-07,39.93508525,18.58476075
152,2.65E-05,0.7851596121,0.07276520213,3.92E-09,9879.008101,2.34E-07,2.62E-09,1.44E-18,8.16E-07,22.75069734,1.400372845
153,2.54E-05,0.7069309529,0.07239864003,1.02E-09,25854.02021,1.02E-07,1.40E-09,3.27E-18,7.38E-07,31.07934157,9.729017077
154,2.84E-05,0.7168281689,0.02042226986,1.24E-09,38972.50616,3.91E-07,2.73E-09,2.76E-18,7.09E-07,33.32427266,11.97394817
155,1.98E-05,0.6142845006,0.05089733114,2.95E-09,40521.63883,3.69E-07,1.22E-09,1.20E-18,3.58E-07,25.30224287,3.951918372
156,8.14E-05,0.7763963556,0.04910032367,2.23E-09,22687.66896,2.29E-07,1.89E-09,3.51E-18,4.66E-07,54.94513606,33.59481157
157,3.62E-05,0.6145744612,0.07984378606,3.82E-09,48569.6032,3.67E-07,1.83E-09,2.28E-18,5.63E-07,30.11934938,8.769024886
158,4.09E-05,0.6745164222,0.06592203225,4.19E-09,7824.200929,2.39E-07,1.57E-09,3.95E-18,4.34E-07,33.44064478,12.09032029
159,4.17E-05,0.7781547984,0.03019950551,1.83E-09,32760.34856,3.49E-07,4.05E-10,2.01E-18,7.46E-07,41.62093642,20.27061192
160,5.25E-05,0.7616164257,0.06761145288,1.69E-09,47554.80943,2.70E-07,2.65E-09,2.03E-18,8.60E-07,41.5346963,20.1843718
161,1.40E-05,0.7210447358,0.06670430619,1.99E-09,6841.58629,5.73E-08,2.68E-09,3.24E-18,6.71E-07,21.59712607,0.2468015733
162,2.05E-05,0.7324583534,0.05023555141,3.95E-09,18430.14893,1.25E-07,2.32E-09,2.08E-18,3.64E-07,21.64484495,0.2945204526
163,4.75E-05,0.5090498719,0.04387970805,3.76E-09,41568.98726,3.14E-07,1.23E-09,3.75E-18,7.21E-07,48.52911213,27.17878763
164,1.62E-05,0.6806231664,0.03240981552,3.63E-09,24145.68263,3.82E-07,6.87E-10,1.06E-18,9.05E-07,24.21607104,2.865746546
165,9.11E-05,0.7423794405,0.06719753782,3.97E-09,42249.64682,2.71E-07,2.06E-09,1.71E-18,8.37E-07,51.40763284,30.05730835
166,2.61E-05,0.8420714989,0.04708533684,4.49E-09,47786.90334,3.92E-07,1.64E-09,3.77E-18,9.57E-07,22.79032034,1.439995847
167,3.33E-05,0.8434527558,0.04444158541,4.96E-09,11558.20984,6.72E-08,2.41E-09,1.44E-18,8.51E-07,28.25886465,6.908540154
168,9.29E-05,0.7336529426,0.0348618829,3.45E-09,30621.49719,2.96E-07,1.03E-09,3.63E-18,5.41E-07,68.15274234,46.80241785
169,7.64E-05,0.6367939196,0.05957843292,4.54E-09,6073.602494,3.52E-07,2.12E-09,1.37E-18,5.21E-07,50.68094282,29.33061833
170,2.11E-05,0.8255506403,0.02123931314,2.70E-09,26407.62335,1.90E-08,1.91E-09,2.33E-18,5.98E-07,23.76322812,2.412903622
171,2.35E-05,0.8110430171,0.05803031829,2.28E-09,35151.61623,1.86E-07,1.83E-09,3.10E-18,5.99E-07,22.72889284,1.378568346
172,8.97E-05,0.7719826159,0.06022751354,6.09E-10,48664.84296,1.79E-07,6.64E-10,2.48E-18,3.87E-07,81.36664574,60.01632124
173,2.16E-05,0.5440872119,0.06469534568,9.29E-10,8218.845723,1.86E-08,1.89E-09,3.98E-18,9.38E-07,35.34494934,13.99462485
174,5.66E-05,0.6035617865,0.07908607941,4.00E-09,33378.69605,1.14E-07,1.80E-09,2.43E-18,9.81E-07,39.13897496,17.78865046
175,7.58E-05,0.5165410795,0.04339959247,8.97E-10,40369.82045,7.67E-08,1.23E-09,3.47E-18,9.46E-07,83.21799684,61.86767234
176,4.54E-05,0.5168558726,0.07322386747,3.06E-09,13110.18809,4.88E-08,2.71E-09,1.10E-18,3.83E-07,54.54863039,33.1983059
177,9.80E-05,0.7046194493,0.05522188021,1.98E-09,22652.72843,2.00E-07,1.59E-09,2.87E-18,2.80E-07,63.43005783,42.07973333
