dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
3.31e-05,0.78384,0.037854,1.13e-17,26387,1.77e-10,1.13e-30,44.553
4.41e-05,0.55064,0.055304,5.03e-18,2.916e+05,8.36e-09,3.15e-31,56.633
4.79e-05,0.61639,0.045738,1.67e-18,85536,1.05e-08,2.65e-31,61.061
2.27e-05,0.89523,0.027591,4.53e-18,4065.4,1.18e-09,7.83e-31,31.507
4.79e-05,0.63148,0.042756,1.28e-17,5728.2,1.51e-08,1.92e-31,61.486
4.09e-05,0.81862,0.023032,4.95e-19,62900,2.27e-09,6.4e-32,55.785
4.41e-05,0.83705,0.046116,1.3e-17,19235,5.66e-10,1.85e-30,52.481
5.76e-05,0.74509,0.047944,5.61e-18,11001,8.6e-09,5.63e-32,61.652
4.52e-05,0.82207,0.02681,3.51e-18,25656,3.57e-09,3.2e-30,59.341
5.32e-05,0.86919,0.063886,3.75e-18,2.9636e+05,2.4e-09,2.99e-31,51.977
2.82e-05,0.62704,0.026101,7.39e-18,33685,1.2e-09,1.31e-31,46.743
3.76e-05,0.66008,0.037662,9.01e-18,1.5176e+05,1.96e-08,2.96e-31,55.049
3.23e-05,0.84527,0.045694,1.12e-18,4223.4,8.87e-09,1.46e-30,42.833
3.72e-05,0.53828,0.058643,6.01e-19,5885.9,1.7e-09,7.34e-32,52.21
2.51e-05,0.62153,0.057469,7.94e-18,26775,1.6e-09,1.65e-31,38.461
5.99e-05,0.65609,0.063123,1e-17,8286.5,5.88e-08,9.03e-32,57.752
3.37e-05,0.62454,0.050155,1.42e-17,1.3572e+05,4.13e-09,4.42e-30,48.655
5.4e-05,0.58346,0.04793,1.45e-17,2.5921e+05,1.57e-09,1.38e-31,65.685
3.72e-05,0.88789,0.036796,3.2e-18,97572,2.75e-09,4.2e-31,46.559
4.27e-05,0.80966,0.053911,5.22e-18,3078.1,1.33e-09,3.3e-31,49.64
3.17e-05,0.89674,0.032314,4.03e-18,4301.4,1.86e-10,1.35e-30,39.309
4.81e-05,0.87659,0.055101,1.32e-17,75073,8.48e-10,4.3e-30,52.159
3.5e-05,0.88983,0.018254,8.78e-18,6580.2,9.5e-11,3.89e-30,44.782
3.09e-05,0.90605,0.060167,1e-17,6815.5,8.33e-09,3.9e-30,37.251
5.16e-05,0.8156,0.044429,3.33e-19,71034,8.21e-10,6.21e-32,59.683
5.69e-05,0.68158,0.019783,8.88e-18,8710.7,5.05e-08,1.41e-30,79.461
5.01e-05,0.83809,0.043458,1.51e-18,12514,1.74e-09,6.24e-31,57.522
2.7e-05,0.55209,0.054109,3.58e-19,4313.2,9.37e-09,6.45e-32,43.323
4.23e-05,0.82658,0.050725,1.26e-17,3027.1,2.37e-09,3.33e-30,49.754
2.09e-05,0.71232,0.04025,1.39e-17,6891.6,3.52e-08,1.37e-31,36.42
2.08e-05,0.67246,0.050325,1.52e-17,16435,6.96e-10,3.94e-31,32.696
