dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
2.98E-05,0.899252828,0.075693238,1.01E-09,27013.70843,1.89E-07,4.54E-10,2.35E-18,5.45E-07,31.30008221,6.074258733,0.103668984
4.18E-05,0.829663745,0.045484592,3.30E-09,27523.94436,1.63E-08,1.44E-09,1.92E-18,8.73E-07,35.93122284,10.39717311,0.21005253
6.98E-05,0.844724238,0.017002819,4.68E-09,16913.21924,1.66E-07,2.75E-09,3.58E-18,7.33E-07,60.72556526,24.08167449,0.511441395
2.17E-05,0.590939399,0.025852018,1.58E-09,44188.31585,7.84E-08,8.39E-10,2.96E-18,7.14E-07,35.18759685,9.024619281,0.930223697
5.17E-05,0.850961816,0.073899867,2.98E-09,34939.41271,2.47E-07,8.50E-10,2.85E-18,9.25E-07,34.83507741,9.876808801,0.238723958
7.46E-05,0.847259709,0.071379064,4.70E-09,16772.58099,1.06E-07,2.63E-09,1.54E-18,8.49E-07,41.97889349,14.32359691,0.402545017
4.18E-05,0.798898323,0.029894204,1.75E-09,36158.53149,2.60E-07,1.89E-09,1.64E-18,3.39E-07,42.22332975,14.14253509,0.268348122
1.89E-05,0.666305664,0.056502492,4.33E-09,49474.29207,2.46E-07,2.84E-09,1.38E-18,6.13E-07,22.56601185,0.310912306,0.031487098
3.05E-05,0.547122853,0.025328634,1.63E-09,34688.64304,1.99E-07,1.04E-09,1.75E-18,3.09E-07,54.16408279,20.78910517,1.063041057
9.09E-05,0.750821852,0.039937458,3.80E-09,31878.35855,3.45E-07,1.30E-09,1.30E-18,4.25E-07,65.99289281,26.03716862,0.641683889
